Using device: cuda
Episode: 16, Reward: -15.75, Loss: 0.00000031, Time: 19761.01ms
Episode: 32, Reward: -16.0625, Loss: -0.00000494, Time: 24377.95ms
Episode: 48, Reward: -16.3125, Loss: -0.00000103, Time: 23389.72ms
Episode: 64, Reward: -15.8125, Loss: 0.00000030, Time: 23197.93ms
Episode: 80, Reward: -16.4375, Loss: -0.00000787, Time: 23198.73ms
Episode: 96, Reward: -16.1875, Loss: -0.00000869, Time: 27322.94ms
Episode: 112, Reward: -16.625, Loss: -0.00000813, Time: 31581.49ms
Episode: 128, Reward: -16.6875, Loss: -0.00000682, Time: 28416.65ms
Episode: 144, Reward: -15.4375, Loss: -0.00001012, Time: 26696.15ms
Episode: 160, Reward: -15.75, Loss: -0.00002280, Time: 27225.65ms
Episode: 176, Reward: -15.4375, Loss: -0.00003917, Time: 30275.99ms
Episode: 192, Reward: -17.1875, Loss: -0.00001350, Time: 32995.57ms
Episode: 208, Reward: -15.5, Loss: -0.00003914, Time: 30965.38ms
Episode: 224, Reward: -16.0, Loss: -0.00002638, Time: 30269.07ms
Episode: 240, Reward: -16.0, Loss: 0.00000291, Time: 35234.81ms
Episode: 256, Reward: -16.4375, Loss: -0.00002147, Time: 28098.66ms
Episode: 272, Reward: -16.5, Loss: -0.00002127, Time: 24214.47ms
Episode: 288, Reward: -15.6875, Loss: 0.00001850, Time: 22774.20ms
Episode: 304, Reward: -15.6875, Loss: -0.00000443, Time: 22596.80ms
Episode: 320, Reward: -17.3125, Loss: -0.00006886, Time: 22578.77ms
Episode: 336, Reward: -15.4375, Loss: -0.00003558, Time: 21370.96ms
Episode: 352, Reward: -14.5625, Loss: -0.00002902, Time: 23417.15ms
Episode: 368, Reward: -15.5, Loss: -0.00005191, Time: 20385.91ms
Episode: 384, Reward: -16.6875, Loss: -0.00004386, Time: 25425.11ms
Episode: 400, Reward: -17.5, Loss: -0.00006169, Time: 24994.58ms
Episode: 416, Reward: -16.0, Loss: -0.00000077, Time: 23383.36ms
Episode: 432, Reward: -15.9375, Loss: -0.00007833, Time: 23591.79ms
Episode: 448, Reward: -15.5, Loss: -0.00011272, Time: 23581.07ms
Episode: 464, Reward: -16.9375, Loss: -0.00008826, Time: 22987.85ms
Episode: 480, Reward: -15.4375, Loss: -0.00003776, Time: 23589.98ms
Episode: 496, Reward: -15.1875, Loss: -0.00000966, Time: 23795.99ms
Episode: 512, Reward: -17.25, Loss: -0.00010929, Time: 25603.89ms
Episode: 528, Reward: -16.9375, Loss: -0.00004165, Time: 22997.17ms
Episode: 544, Reward: -14.875, Loss: -0.00009716, Time: 21360.23ms
Episode: 560, Reward: -15.5625, Loss: -0.00017205, Time: 22004.02ms
Episode: 576, Reward: -15.9375, Loss: -0.00011908, Time: 23607.08ms
Episode: 592, Reward: -16.8125, Loss: -0.00014881, Time: 23372.70ms
Episode: 608, Reward: -14.625, Loss: -0.00007171, Time: 21371.41ms
Episode: 624, Reward: -16.9375, Loss: -0.00001434, Time: 23415.02ms
Episode: 640, Reward: -17.75, Loss: -0.00013704, Time: 23996.93ms
Episode: 656, Reward: -16.1875, Loss: -0.00015317, Time: 26846.13ms
Episode: 672, Reward: -16.5625, Loss: 0.00000377, Time: 23343.58ms
Episode: 688, Reward: -15.6875, Loss: 0.00004395, Time: 19978.08ms
Episode: 704, Reward: -17.375, Loss: -0.00018380, Time: 23424.59ms
Episode: 720, Reward: -14.75, Loss: -0.00015793, Time: 19982.54ms
Episode: 736, Reward: -16.5, Loss: -0.00019198, Time: 21981.98ms
Episode: 752, Reward: -17.125, Loss: -0.00006754, Time: 22199.53ms
Episode: 768, Reward: -16.5625, Loss: 0.00003156, Time: 23998.11ms
Episode: 784, Reward: -16.4375, Loss: 0.00001086, Time: 21785.15ms
Episode: 800, Reward: -17.375, Loss: -0.00018336, Time: 23804.33ms
Episode: 816, Reward: -15.6875, Loss: -0.00024311, Time: 20756.90ms
Episode: 832, Reward: -17.0625, Loss: -0.00027814, Time: 23007.16ms
