Using device: cuda
Episode: 16, Reward: -14.9375, Advantage: 1.581050590042108e-16, Logits: 0.49853515625, BCE: -0.693359375, Loss: -0.00002530, Time: 19.86s, Total Time: 0.33m
Episode: 32, Reward: -16.375, Advantage: -1.8539646624808438e-16, Logits: 0.49755859375, BCE: -0.693359375, Loss: -0.00002830, Time: 22.13s, Total Time: 0.70m
Episode: 48, Reward: -15.9375, Advantage: 1.2473207831139773e-16, Logits: 0.49658203125, BCE: -0.693359375, Loss: -0.00004050, Time: 22.57s, Total Time: 1.08m
Episode: 64, Reward: -16.375, Advantage: -1.0375447679341192e-16, Logits: 0.495361328125, BCE: -0.69287109375, Loss: 0.00023309, Time: 25.43s, Total Time: 1.50m
Episode: 80, Reward: -16.5625, Advantage: 1.4623760905474217e-16, Logits: 0.49462890625, BCE: -0.69287109375, Loss: -0.00003678, Time: 23.35s, Total Time: 1.89m
Episode: 96, Reward: -17.8125, Advantage: -3.190543837757731e-16, Logits: 0.493896484375, BCE: -0.69287109375, Loss: -0.00010798, Time: 25.01s, Total Time: 2.31m
Episode: 112, Reward: -17.0, Advantage: -9.485400598739201e-17, Logits: 0.4931640625, BCE: -0.6923828125, Loss: -0.00042402, Time: 25.01s, Total Time: 2.72m
Episode: 128, Reward: -18.0625, Advantage: 3.1749364324122124e-16, Logits: 0.4921875, BCE: -0.69287109375, Loss: 0.00035508, Time: 28.37s, Total Time: 3.20m
Episode: 144, Reward: -15.8125, Advantage: -1.2416473961985968e-16, Logits: 0.4912109375, BCE: -0.6923828125, Loss: 0.00036007, Time: 32.58s, Total Time: 3.74m
Episode: 160, Reward: -16.9375, Advantage: -2.2856058655940017e-16, Logits: 0.490478515625, BCE: -0.69287109375, Loss: 0.00017577, Time: 32.16s, Total Time: 4.27m
Episode: 176, Reward: -15.5, Advantage: -1.2287905321093965e-16, Logits: 0.489990234375, BCE: -0.69287109375, Loss: 0.00001039, Time: 30.02s, Total Time: 4.77m
Episode: 192, Reward: -15.4375, Advantage: 1.0230327347331286e-16, Logits: 0.489501953125, BCE: -0.6923828125, Loss: 0.00022192, Time: 24.60s, Total Time: 5.18m
Episode: 208, Reward: -16.3125, Advantage: 5.419393747322798e-17, Logits: 0.4892578125, BCE: -0.69287109375, Loss: -0.00019260, Time: 30.05s, Total Time: 5.69m
Episode: 224, Reward: -15.8125, Advantage: -2.004868762915331e-16, Logits: 0.489013671875, BCE: -0.6923828125, Loss: -0.00008609, Time: 26.53s, Total Time: 6.13m
Episode: 240, Reward: -14.9375, Advantage: 6.510208311938091e-17, Logits: 0.48876953125, BCE: -0.6923828125, Loss: -0.00041619, Time: 22.58s, Total Time: 6.50m
Episode: 256, Reward: -16.0, Advantage: -2.795718996634777e-17, Logits: 0.48876953125, BCE: -0.6923828125, Loss: 0.00033119, Time: 24.63s, Total Time: 6.91m
Episode: 272, Reward: -16.625, Advantage: 1.4473588122076648e-16, Logits: 0.488525390625, BCE: -0.69287109375, Loss: -0.00032837, Time: 22.54s, Total Time: 7.29m
Episode: 288, Reward: -15.375, Advantage: -1.3904734968606328e-16, Logits: 0.48828125, BCE: -0.69287109375, Loss: 0.00029657, Time: 24.83s, Total Time: 7.70m
Episode: 304, Reward: -15.75, Advantage: -1.0132132457744146e-16, Logits: 0.48828125, BCE: -0.69287109375, Loss: 0.00023280, Time: 24.58s, Total Time: 8.11m
Episode: 320, Reward: -16.375, Advantage: 1.3664283380001927e-16, Logits: 0.488037109375, BCE: -0.6923828125, Loss: 0.00019317, Time: 28.39s, Total Time: 8.59m
Episode: 336, Reward: -15.75, Advantage: -1.670723969096109e-16, Logits: 0.488037109375, BCE: -0.69287109375, Loss: -0.00030285, Time: 29.51s, Total Time: 9.08m
