Using device: cuda
Epoch: 0 | Loss: 8.2691e-08 | Reward: -0.0205 | Time (s): 6.5896 | Total Time (m): 0.10983
Epoch: 1 | Loss: 4.1847e-09 | Reward: -0.0175 | Time (s): 5.3804 | Total Time (m): 0.1995
Epoch: 2 | Loss: 4.7344e-08 | Reward: -0.02 | Time (s): 18.863 | Total Time (m): 0.51388
Epoch: 3 | Loss: 1.0478e-07 | Reward: -0.0145 | Time (s): 21.301 | Total Time (m): 0.8689
Epoch: 4 | Loss: 2.5752e-07 | Reward: -0.017 | Time (s): 22.04 | Total Time (m): 1.2362
Epoch: 5 | Loss: 1.1084e-07 | Reward: -0.0195 | Time (s): 22.143 | Total Time (m): 1.6053
Epoch: 6 | Loss: 2.9045e-07 | Reward: -0.019 | Time (s): 22.146 | Total Time (m): 1.9744
Epoch: 7 | Loss: 1.0993e-07 | Reward: -0.018 | Time (s): 21.848 | Total Time (m): 2.3385
Epoch: 8 | Loss: 2.6619e-08 | Reward: -0.0195 | Time (s): 21.81 | Total Time (m): 2.702
Epoch: 9 | Loss: 2.3042e-07 | Reward: -0.0185 | Time (s): 21.73 | Total Time (m): 3.0642
Epoch: 10 | Loss: 1.281e-07 | Reward: -0.0175 | Time (s): 21.529 | Total Time (m): 3.423
Epoch: 11 | Loss: 9.099e-08 | Reward: -0.02 | Time (s): 20.65 | Total Time (m): 3.7672
Epoch: 12 | Loss: -5.13e-08 | Reward: -0.023 | Time (s): 20.962 | Total Time (m): 4.1165
Epoch: 13 | Loss: 4.353e-07 | Reward: -0.023 | Time (s): 21.535 | Total Time (m): 4.4754
Epoch: 14 | Loss: 1.6394e-07 | Reward: -0.0215 | Time (s): 22.481 | Total Time (m): 4.8501
Epoch: 15 | Loss: 4.1332e-08 | Reward: -0.019 | Time (s): 21.746 | Total Time (m): 5.2126
Epoch: 16 | Loss: 2.4757e-07 | Reward: -0.014 | Time (s): 22.064 | Total Time (m): 5.5803
Epoch: 17 | Loss: 2.7827e-07 | Reward: -0.022 | Time (s): 21.367 | Total Time (m): 5.9364
Epoch: 18 | Loss: 2.7924e-08 | Reward: -0.0225 | Time (s): 21.659 | Total Time (m): 6.2974
Epoch: 19 | Loss: 1.9634e-07 | Reward: -0.0215 | Time (s): 22.049 | Total Time (m): 6.6649
Epoch: 20 | Loss: 6.2801e-08 | Reward: -0.022 | Time (s): 22.208 | Total Time (m): 7.035
Epoch: 21 | Loss: 9.7935e-08 | Reward: -0.019 | Time (s): 22.024 | Total Time (m): 7.4021
Epoch: 22 | Loss: 2.1032e-07 | Reward: -0.0225 | Time (s): 21.94 | Total Time (m): 7.7677
Epoch: 23 | Loss: 1.9786e-07 | Reward: -0.022 | Time (s): 21.913 | Total Time (m): 8.133
Epoch: 24 | Loss: 4.7684e-10 | Reward: -0.023 | Time (s): 21.831 | Total Time (m): 8.4968
Epoch: 25 | Loss: -2.4323e-08 | Reward: -0.023 | Time (s): 21.292 | Total Time (m): 8.8517
Epoch: 26 | Loss: 3.1041e-07 | Reward: -0.0165 | Time (s): 21.53 | Total Time (m): 9.2105
Epoch: 27 | Loss: 1.0797e-07 | Reward: -0.0215 | Time (s): 21.241 | Total Time (m): 9.5645
Epoch: 28 | Loss: 1.9484e-07 | Reward: -0.0205 | Time (s): 22.007 | Total Time (m): 9.9313
Epoch: 29 | Loss: 6.255e-08 | Reward: -0.02 | Time (s): 21.512 | Total Time (m): 10.29
Epoch: 30 | Loss: 8.3866e-08 | Reward: -0.0205 | Time (s): 21.85 | Total Time (m): 10.654
Epoch: 31 | Loss: 4.277e-07 | Reward: -0.0205 | Time (s): 21.768 | Total Time (m): 11.017
Epoch: 32 | Loss: 1.3702e-07 | Reward: -0.019 | Time (s): 21.799 | Total Time (m): 11.38
Epoch: 33 | Loss: 9.8495e-09 | Reward: -0.0205 | Time (s): 21.478 | Total Time (m): 11.738
Epoch: 34 | Loss: 2.1506e-07 | Reward: -0.02 | Time (s): 21.602 | Total Time (m): 12.098
Epoch: 35 | Loss: 1.4196e-07 | Reward: -0.02 | Time (s): 19.967 | Total Time (m): 12.431
Epoch: 36 | Loss: 3.4228e-07 | Reward: -0.0165 | Time (s): 21.603 | Total Time (m): 12.791
Epoch: 37 | Loss: 2.1071e-07 | Reward: -0.0225 | Time (s): 21.197 | Total Time (m): 13.144
Epoch: 38 | Loss: 3.0594e-08 | Reward: -0.016 | Time (s): 21.5 | Total Time (m): 13.503
Epoch: 39 | Loss: 1.3523e-07 | Reward: -0.0225 | Time (s): 22.021 | Total Time (m): 13.87
Epoch: 40 | Loss: 3.2508e-07 | Reward: -0.0205 | Time (s): 22.117 | Total Time (m): 14.238
Epoch: 41 | Loss: 2.1298e-07 | Reward: -0.023 | Time (s): 21.601 | Total Time (m): 14.598
Epoch: 42 | Loss: 2.104e-07 | Reward: -0.0185 | Time (s): 21.621 | Total Time (m): 14.959
Epoch: 43 | Loss: 1.8456e-08 | Reward: -0.023 | Time (s): 22.172 | Total Time (m): 15.328
Epoch: 44 | Loss: 1.0378e-07 | Reward: -0.023 | Time (s): 21.489 | Total Time (m): 15.686
Epoch: 45 | Loss: 9.7992e-08 | Reward: -0.017 | Time (s): 21.709 | Total Time (m): 16.048
Epoch: 46 | Loss: 1.1944e-08 | Reward: -0.018 | Time (s): 21.876 | Total Time (m): 16.413
Epoch: 47 | Loss: 2.278e-07 | Reward: -0.017 | Time (s): 21.891 | Total Time (m): 16.778
Epoch: 48 | Loss: 2.4816e-07 | Reward: -0.0215 | Time (s): 21.755 | Total Time (m): 17.14
Epoch: 49 | Loss: 3.3618e-07 | Reward: -0.019 | Time (s): 21.513 | Total Time (m): 17.499
Epoch: 50 | Loss: 4.9217e-08 | Reward: -0.0195 | Time (s): 21.728 | Total Time (m): 17.861
Epoch: 51 | Loss: 3.1583e-07 | Reward: -0.0225 | Time (s): 21.974 | Total Time (m): 18.227
Epoch: 52 | Loss: -5.3177e-09 | Reward: -0.0205 | Time (s): 22.086 | Total Time (m): 18.595
Epoch: 53 | Loss: 2.863e-07 | Reward: -0.0215 | Time (s): 21.211 | Total Time (m): 18.949
Epoch: 54 | Loss: 1.577e-07 | Reward: -0.0215 | Time (s): 21.77 | Total Time (m): 19.312
Epoch: 55 | Loss: 3.5253e-07 | Reward: -0.0205 | Time (s): 2.4316 | Total Time (m): 19.352
