Using device: cuda
Epoch: 0 | Loss: -0.46721 | Reward: -19.688 | Advantage: -0.67405 | Prob: 0.5 | LogProg: -0.69315 | Time (s): 7.119 | Total Time (m): 0.11865
Epoch: 1 | Loss: -0.44327 | Reward: -19.031 | Advantage: -0.63929 | Prob: 0.49976 | LogProg: -0.69339 | Time (s): 22.646 | Total Time (m): 0.49609
Epoch: 2 | Loss: -0.42706 | Reward: -18.375 | Advantage: -0.6159 | Prob: 0.49976 | LogProg: -0.6934 | Time (s): 6.1678 | Total Time (m): 0.59889
Epoch: 3 | Loss: -0.50254 | Reward: -20.344 | Advantage: -0.72476 | Prob: 0.49976 | LogProg: -0.69339 | Time (s): 15.362 | Total Time (m): 0.85492
Epoch: 4 | Loss: -0.4341 | Reward: -18.375 | Advantage: -0.6263 | Prob: 0.49951 | LogProg: -0.69311 | Time (s): 12.343 | Total Time (m): 1.0606
Epoch: 5 | Loss: -0.47636 | Reward: -19.031 | Advantage: -0.68722 | Prob: 0.49951 | LogProg: -0.69317 | Time (s): 33.686 | Total Time (m): 1.6221
Epoch: 6 | Loss: -0.51926 | Reward: -21 | Advantage: -0.74942 | Prob: 0.49927 | LogProg: -0.69287 | Time (s): 42.538 | Total Time (m): 2.331
Epoch: 7 | Loss: -0.54636 | Reward: -21 | Advantage: -0.78858 | Prob: 0.49927 | LogProg: -0.69284 | Time (s): 36.694 | Total Time (m): 2.9426
Epoch: 8 | Loss: -0.50399 | Reward: -20.344 | Advantage: -0.7271 | Prob: 0.49951 | LogProg: -0.69315 | Time (s): 16.968 | Total Time (m): 3.2254
Epoch: 9 | Loss: -0.4859 | Reward: -19.688 | Advantage: -0.70097 | Prob: 0.49951 | LogProg: -0.69318 | Time (s): 37.831 | Total Time (m): 3.8559
Epoch: 10 | Loss: -0.47248 | Reward: -20.344 | Advantage: -0.68162 | Prob: 0.49951 | LogProg: -0.69317 | Time (s): 32.583 | Total Time (m): 4.399
Epoch: 11 | Loss: -0.53546 | Reward: -21 | Advantage: -0.77277 | Prob: 0.49927 | LogProg: -0.69291 | Time (s): 37.85 | Total Time (m): 5.0298
Epoch: 12 | Loss: -0.47256 | Reward: -19.688 | Advantage: -0.68198 | Prob: 0.49927 | LogProg: -0.69292 | Time (s): 37.662 | Total Time (m): 5.6575
Epoch: 13 | Loss: -0.50855 | Reward: -20.344 | Advantage: -0.7337 | Prob: 0.49902 | LogProg: -0.69314 | Time (s): 37.224 | Total Time (m): 6.2779
Epoch: 14 | Loss: -0.52145 | Reward: -20.344 | Advantage: -0.75223 | Prob: 0.49902 | LogProg: -0.69321 | Time (s): 36.147 | Total Time (m): 6.8803
