Using device: cuda
Epoch: 0 | Loss: -0.54723 | Reward: -21 | Advantage: -0.78946 | Prob: 0.50146 | LogProb: -0.69317 | GradNorm: 0.0034557 | Time (s): 5.2857 | Total Time (m): 0.088094
Epoch: 1 | Loss: -0.50728 | Reward: -21 | Advantage: -0.73187 | Prob: 0.50195 | LogProb: -0.69313 | GradNorm: 0.0019456 | Time (s): 8.8487 | Total Time (m): 0.23557
Epoch: 2 | Loss: -0.41062 | Reward: -17.719 | Advantage: -0.5923 | Prob: 0.50244 | LogProb: -0.69326 | GradNorm: 0.011409 | Time (s): 21.824 | Total Time (m): 0.59931
Epoch: 3 | Loss: -0.44795 | Reward: -19.031 | Advantage: -0.64627 | Prob: 0.50293 | LogProb: -0.69313 | GradNorm: 0.0027975 | Time (s): 25.351 | Total Time (m): 1.0218
Epoch: 4 | Loss: -0.51647 | Reward: -21 | Advantage: -0.74512 | Prob: 0.50342 | LogProb: -0.69314 | GradNorm: 0.0035235 | Time (s): 25.416 | Total Time (m): 1.4454
Epoch: 5 | Loss: -0.49014 | Reward: -20.344 | Advantage: -0.70711 | Prob: 0.50391 | LogProb: -0.69316 | GradNorm: 0.0040929 | Time (s): 22.714 | Total Time (m): 1.824
Epoch: 6 | Loss: -0.52316 | Reward: -21 | Advantage: -0.75499 | Prob: 0.50439 | LogProb: -0.69293 | GradNorm: 0.01159 | Time (s): 22.706 | Total Time (m): 2.2024
Epoch: 7 | Loss: -0.52892 | Reward: -21 | Advantage: -0.76294 | Prob: 0.50439 | LogProb: -0.69327 | GradNorm: 0.010201 | Time (s): 22.656 | Total Time (m): 2.58
Epoch: 8 | Loss: -0.5124 | Reward: -20.344 | Advantage: -0.73899 | Prob: 0.50488 | LogProb: -0.69338 | GradNorm: 0.019988 | Time (s): 21.483 | Total Time (m): 2.9381
Epoch: 9 | Loss: -0.36339 | Reward: -16.406 | Advantage: -0.52422 | Prob: 0.50537 | LogProb: -0.69321 | GradNorm: 0.005062 | Time (s): 24.688 | Total Time (m): 3.3495
Epoch: 10 | Loss: -0.49145 | Reward: -19.688 | Advantage: -0.70886 | Prob: 0.50586 | LogProb: -0.69329 | GradNorm: 0.012493 | Time (s): 20.562 | Total Time (m): 3.6922
Epoch: 11 | Loss: -0.52135 | Reward: -20.344 | Advantage: -0.75191 | Prob: 0.50635 | LogProb: -0.69336 | GradNorm: 0.018001 | Time (s): 20.115 | Total Time (m): 4.0275
Epoch: 12 | Loss: -0.49053 | Reward: -20.344 | Advantage: -0.70801 | Prob: 0.50684 | LogProb: -0.69283 | GradNorm: 0.012608 | Time (s): 22.948 | Total Time (m): 4.4099
Epoch: 13 | Loss: -0.47312 | Reward: -19.688 | Advantage: -0.68268 | Prob: 0.50732 | LogProb: -0.69303 | GradNorm: 0.0041873 | Time (s): 23.647 | Total Time (m): 4.8041
Epoch: 14 | Loss: -0.53952 | Reward: -21 | Advantage: -0.77857 | Prob: 0.50781 | LogProb: -0.69296 | GradNorm: 0.0064397 | Time (s): 21.301 | Total Time (m): 5.1591
Epoch: 15 | Loss: -0.47405 | Reward: -19.688 | Advantage: -0.68447 | Prob: 0.50781 | LogProb: -0.69258 | GradNorm: 0.022077 | Time (s): 23.946 | Total Time (m): 5.5582
Epoch: 16 | Loss: -0.51873 | Reward: -20.344 | Advantage: -0.74825 | Prob: 0.5083 | LogProb: -0.69326 | GradNorm: 0.014677 | Time (s): 22.586 | Total Time (m): 5.9346
Epoch: 17 | Loss: -0.51733 | Reward: -20.344 | Advantage: -0.74643 | Prob: 0.5083 | LogProb: -0.69307 | GradNorm: 0.0050542 | Time (s): 13.48 | Total Time (m): 6.1593
Epoch: 18 | Loss: -0.49095 | Reward: -20.344 | Advantage: -0.70848 | Prob: 0.5083 | LogProb: -0.69296 | GradNorm: 0.0024849 | Time (s): 20.839 | Total Time (m): 6.5066
Epoch: 19 | Loss: -0.46994 | Reward: -19.688 | Advantage: -0.67805 | Prob: 0.50879 | LogProb: -0.69307 | GradNorm: 0.0026689 | Time (s): 24.655 | Total Time (m): 6.9175
Epoch: 20 | Loss: -0.46366 | Reward: -19.688 | Advantage: -0.66933 | Prob: 0.50879 | LogProb: -0.69272 | GradNorm: 0.015174 | Time (s): 22.203 | Total Time (m): 7.2876
Epoch: 21 | Loss: -0.45114 | Reward: -19.031 | Advantage: -0.65082 | Prob: 0.50879 | LogProb: -0.69319 | GradNorm: 0.012114 | Time (s): 20.964 | Total Time (m): 7.637
Epoch: 22 | Loss: -0.53085 | Reward: -21 | Advantage: -0.76625 | Prob: 0.50879 | LogProb: -0.69279 | GradNorm: 0.013304 | Time (s): 21.106 | Total Time (m): 7.9887
Epoch: 23 | Loss: -0.49939 | Reward: -20.344 | Advantage: -0.72051 | Prob: 0.50879 | LogProb: -0.69311 | GradNorm: 0.0052573 | Time (s): 22.958 | Total Time (m): 8.3714
Epoch: 24 | Loss: -0.51939 | Reward: -20.344 | Advantage: -0.74965 | Prob: 0.50879 | LogProb: -0.69285 | GradNorm: 0.0063125 | Time (s): 19.894 | Total Time (m): 8.7029
Epoch: 25 | Loss: -0.41303 | Reward: -17.719 | Advantage: -0.59589 | Prob: 0.50879 | LogProb: -0.69314 | GradNorm: 0.010895 | Time (s): 16.918 | Total Time (m): 8.9849
Epoch: 26 | Loss: -0.52084 | Reward: -21 | Advantage: -0.75138 | Prob: 0.50879 | LogProb: -0.69319 | GradNorm: 0.010153 | Time (s): 20.847 | Total Time (m): 9.3324
Epoch: 27 | Loss: -0.47863 | Reward: -19.688 | Advantage: -0.69087 | Prob: 0.50928 | LogProb: -0.69279 | GradNorm: 0.01169 | Time (s): 20.924 | Total Time (m): 9.6811
Epoch: 28 | Loss: -0.48147 | Reward: -19.688 | Advantage: -0.69485 | Prob: 0.50928 | LogProb: -0.69291 | GradNorm: 0.0063119 | Time (s): 23.019 | Total Time (m): 10.065
Epoch: 29 | Loss: -0.47179 | Reward: -19.031 | Advantage: -0.68078 | Prob: 0.50928 | LogProb: -0.69301 | GradNorm: 0.0020722 | Time (s): 19.787 | Total Time (m): 10.395
Epoch: 30 | Loss: -0.54631 | Reward: -21 | Advantage: -0.78893 | Prob: 0.50928 | LogProb: -0.69248 | GradNorm: 0.03209 | Time (s): 19.83 | Total Time (m): 10.725
Epoch: 31 | Loss: -0.47855 | Reward: -19.688 | Advantage: -0.69103 | Prob: 0.50879 | LogProb: -0.69252 | GradNorm: 0.024747 | Time (s): 24.434 | Total Time (m): 11.132
Epoch: 32 | Loss: -0.48692 | Reward: -19.688 | Advantage: -0.70384 | Prob: 0.5083 | LogProb: -0.69181 | GradNorm: 0.068396 | Time (s): 20.629 | Total Time (m): 11.476
Epoch: 33 | Loss: -0.47779 | Reward: -20.344 | Advantage: -0.68959 | Prob: 0.50781 | LogProb: -0.69286 | GradNorm: 0.010479 | Time (s): 26.548 | Total Time (m): 11.919
Epoch: 34 | Loss: -0.45864 | Reward: -19.688 | Advantage: -0.6614 | Prob: 0.50732 | LogProb: -0.69344 | GradNorm: 0.022896 | Time (s): 25.885 | Total Time (m): 12.35
Epoch: 35 | Loss: -0.4487 | Reward: -19.031 | Advantage: -0.64794 | Prob: 0.50684 | LogProb: -0.6925 | GradNorm: 0.030421 | Time (s): 23.062 | Total Time (m): 12.734
Epoch: 36 | Loss: -0.49995 | Reward: -20.344 | Advantage: -0.72169 | Prob: 0.50635 | LogProb: -0.69274 | GradNorm: 0.020047 | Time (s): 21.767 | Total Time (m): 13.097
Epoch: 37 | Loss: -0.46572 | Reward: -19.031 | Advantage: -0.67195 | Prob: 0.50586 | LogProb: -0.69309 | GradNorm: 0.0025125 | Time (s): 22.477 | Total Time (m): 13.472
