Using cuda device
Step: 0 | Reward: -20.25 | Advantage: -4.8047e-05 | Loss: 8.523e-09 | Prob: 0.50229 | Log Prob: -0.67601 | Grad Norm: 0.0091254 | Time: 7.8861 | Total Time: 0.13143
Step: 4 | Reward: -20.5 | Advantage: -4.4719e-05 | Loss: 1.2475e-07 | Prob: 0.5058 | Log Prob: -0.68161 | Grad Norm: 0.0093521 | Time: 10.398 | Total Time: 0.30474
Step: 8 | Reward: -19.25 | Advantage: -0.00015986 | Loss: 5.0757e-08 | Prob: 0.5061 | Log Prob: -0.6812 | Grad Norm: 0.012549 | Time: 16.12 | Total Time: 0.57341
Step: 12 | Reward: -19.5 | Advantage: 5.842e-07 | Loss: -2.6554e-08 | Prob: 0.50883 | Log Prob: -0.68767 | Grad Norm: 0.0099452 | Time: 15.799 | Total Time: 0.83673
Step: 16 | Reward: -20.25 | Advantage: 2.4269e-05 | Loss: 4.6829e-09 | Prob: 0.50967 | Log Prob: -0.67399 | Grad Norm: 0.010101 | Time: 12.245 | Total Time: 1.0408
Step: 20 | Reward: -20.75 | Advantage: -0.00012136 | Loss: -6.2012e-08 | Prob: 0.51155 | Log Prob: -0.6703 | Grad Norm: 0.011088 | Time: 9.3934 | Total Time: 1.1974
Step: 24 | Reward: -20.5 | Advantage: -0.0001299 | Loss: 4.192e-08 | Prob: 0.51139 | Log Prob: -0.67061 | Grad Norm: 0.011829 | Time: 10.78 | Total Time: 1.377
Step: 28 | Reward: -20.5 | Advantage: 9.798e-05 | Loss: 9.6881e-08 | Prob: 0.51114 | Log Prob: -0.67112 | Grad Norm: 0.011248 | Time: 11.245 | Total Time: 1.5644
Step: 32 | Reward: -20.5 | Advantage: 4.8526e-05 | Loss: -4.854e-08 | Prob: 0.51159 | Log Prob: -0.67024 | Grad Norm: 0.0087389 | Time: 14.604 | Total Time: 1.8078
Step: 36 | Reward: -20.5 | Advantage: -4.7124e-05 | Loss: 3.3616e-08 | Prob: 0.5125 | Log Prob: -0.69224 | Grad Norm: 0.015887 | Time: 11.803 | Total Time: 2.0046
Step: 40 | Reward: -20.25 | Advantage: -6.2268e-05 | Loss: -2.6231e-08 | Prob: 0.51309 | Log Prob: -0.6673 | Grad Norm: 0.012718 | Time: 11.077 | Total Time: 2.1892
