Step: 0 | Reward: -20.5 | Advantage: 0.00014756 | Loss: -5.2428e-10 | Prob: 0.52314 | Log Prob: -0.6479 | Grad Norm: 7317.9 | Time: 5.7888 | Total Time: 0.096481
Step: 4 | Reward: -20 | Advantage: 0.013924 | Loss: -1.8769e-07 | Prob: 0.8576 | Log Prob: -0.15362 | Grad Norm: 15597 | Time: 7.3024 | Total Time: 0.21819
Step: 8 | Reward: -20.5 | Advantage: -0.023612 | Loss: -2.7379e-07 | Prob: 0.95356 | Log Prob: -0.047551 | Grad Norm: 16384 | Time: 8.0296 | Total Time: 0.35201
Step: 12 | Reward: -20.25 | Advantage: -0.0049995 | Loss: -1.3438e-07 | Prob: 0.98135 | Log Prob: -0.018827 | Grad Norm: 3326.6 | Time: 8.8796 | Total Time: 0.50001
Step: 16 | Reward: -20.5 | Advantage: -0.0036461 | Loss: -6.4455e-08 | Prob: 0.99143 | Log Prob: -0.0086086 | Grad Norm: 3442.1 | Time: 10.18 | Total Time: 0.66968
Step: 20 | Reward: -20 | Advantage: -0.0017939 | Loss: -2.3847e-08 | Prob: 0.99541 | Log Prob: -0.0045966 | Grad Norm: 1694.5 | Time: 8.4338 | Total Time: 0.81024
Step: 24 | Reward: -20.5 | Advantage: -0.0045428 | Loss: -2.6074e-07 | Prob: 0.99733 | Log Prob: -0.0026729 | Grad Norm: 4080.4 | Time: 7.7229 | Total Time: 0.93896
Step: 28 | Reward: -20.5 | Advantage: 0.00077977 | Loss: -1.2593e-07 | Prob: 0.99827 | Log Prob: -0.0017339 | Grad Norm: 2535.9 | Time: 8.0302 | Total Time: 1.0728
Step: 32 | Reward: -20.75 | Advantage: -0.0057867 | Loss: 2.0101e-08 | Prob: 0.99884 | Log Prob: -0.0011627 | Grad Norm: 3565.4 | Time: 7.0879 | Total Time: 1.1909
Step: 36 | Reward: -21 | Advantage: -0.0096098 | Loss: 5.6982e-07 | Prob: 0.99912 | Log Prob: -0.00087794 | Grad Norm: 4984.1 | Time: 6.7335 | Total Time: 1.3032
Step: 40 | Reward: -20.75 | Advantage: 0.00012559 | Loss: 2.765e-07 | Prob: 0.99926 | Log Prob: -0.00073848 | Grad Norm: 6319.5 | Time: 6.5948 | Total Time: 1.4131
Step: 44 | Reward: -21 | Advantage: -0.0047302 | Loss: -3.9983e-07 | Prob: 0.99941 | Log Prob: -0.00059229 | Grad Norm: 7965 | Time: 5.8891 | Total Time: 1.5112
Step: 48 | Reward: -20.75 | Advantage: 0.0090751 | Loss: -7.2354e-08 | Prob: 0.99951 | Log Prob: -0.00048733 | Grad Norm: 8818.1 | Time: 5.7556 | Total Time: 1.6071
Step: 52 | Reward: -20.5 | Advantage: 0.0072144 | Loss: 7.4633e-08 | Prob: 0.99964 | Log Prob: -0.00035745 | Grad Norm: 10387 | Time: 6.1412 | Total Time: 1.7095
Step: 56 | Reward: -20.5 | Advantage: -0.0020962 | Loss: 4.323e-09 | Prob: 0.99969 | Log Prob: -0.0003125 | Grad Norm: 11551 | Time: 6.2669 | Total Time: 1.8139
Step: 60 | Reward: -20.5 | Advantage: -0.033834 | Loss: -2.901e-07 | Prob: 0.99973 | Log Prob: -0.00026581 | Grad Norm: 18022 | Time: 6.4365 | Total Time: 1.9212
Step: 64 | Reward: -20.75 | Advantage: 0.0042837 | Loss: -2.4781e-07 | Prob: 0.99977 | Log Prob: -0.00022933 | Grad Norm: 5857.7 | Time: 6.3498 | Total Time: 2.027
Step: 68 | Reward: -20.75 | Advantage: 0.0064998 | Loss: 3.8131e-08 | Prob: 0.99979 | Log Prob: -0.00021418 | Grad Norm: 10674 | Time: 6.7159 | Total Time: 2.139
Step: 72 | Reward: -21 | Advantage: 0.0053492 | Loss: -3.8639e-07 | Prob: 0.99981 | Log Prob: -0.00018974 | Grad Norm: 9313.2 | Time: 6.6557 | Total Time: 2.2499
Step: 76 | Reward: -20.5 | Advantage: 0.0053136 | Loss: -6.1368e-08 | Prob: 0.99982 | Log Prob: -0.00017937 | Grad Norm: 4827 | Time: 8.1328 | Total Time: 2.3855
Step: 80 | Reward: -20.5 | Advantage: -0.0039693 | Loss: 1.8081e-08 | Prob: 0.99983 | Log Prob: -0.000174 | Grad Norm: 6572.4 | Time: 8.5548 | Total Time: 2.528
Step: 84 | Reward: -20.75 | Advantage: -0.012632 | Loss: -2.0421e-07 | Prob: 0.99983 | Log Prob: -0.00016595 | Grad Norm: 7113.9 | Time: 9.9987 | Total Time: 2.6947
Step: 88 | Reward: -20.25 | Advantage: 0.0033879 | Loss: 2.9595e-08 | Prob: 0.99984 | Log Prob: -0.00015963 | Grad Norm: 3851.7 | Time: 9.7893 | Total Time: 2.8578
Step: 92 | Reward: -20.25 | Advantage: -0.0093557 | Loss: -6.0829e-08 | Prob: 0.99985 | Log Prob: -0.00015284 | Grad Norm: 4817.2 | Time: 9.5608 | Total Time: 3.0172
Step: 96 | Reward: -19.75 | Advantage: -0.0020386 | Loss: 6.6373e-08 | Prob: 0.99985 | Log Prob: -0.000147 | Grad Norm: 8160 | Time: 9.1316 | Total Time: 3.1694
Step: 100 | Reward: -20.5 | Advantage: -0.0046273 | Loss: -9.179e-08 | Prob: 0.99985 | Log Prob: -0.00014759 | Grad Norm: 3268.8 | Time: 9.1267 | Total Time: 3.3215
Step: 104 | Reward: -20.5 | Advantage: -0.0065222 | Loss: -1.7304e-08 | Prob: 0.99985 | Log Prob: -0.00014664 | Grad Norm: 4851.3 | Time: 10.208 | Total Time: 3.4916
Step: 108 | Reward: -20.25 | Advantage: -0.0091179 | Loss: -2.2402e-07 | Prob: 0.99985 | Log Prob: -0.00014688 | Grad Norm: 4241.8 | Time: 12.164 | Total Time: 3.6944
Step: 112 | Reward: -21 | Advantage: -0.0031817 | Loss: 1.3993e-07 | Prob: 0.99986 | Log Prob: -0.00014318 | Grad Norm: 10288 | Time: 9.8752 | Total Time: 3.8589
