Episode: 4, Loss: 0.0008497678209096193, Reward: -20.5, Advantage: -1.8809360824434407e-07, Max Prob: 0.19109955430030823, Max Log Prob: -1.6549607515335083
Episode: 8, Loss: 2.0921121176797897e-05, Reward: -20.75, Advantage: -2.0054442018135887e-07, Max Prob: 0.1917319893836975, Max Log Prob: -1.6516567468643188
Episode: 12, Loss: -0.0007547823479399085, Reward: -21.0, Advantage: -2.5837587713795074e-07, Max Prob: 0.19568677246570587, Max Log Prob: -1.6312400102615356
Episode: 16, Loss: -0.0008440450765192509, Reward: -20.0, Advantage: -1.495052259770091e-07, Max Prob: 0.19984440505504608, Max Log Prob: -1.6102161407470703
Episode: 20, Loss: -2.4457049221382476e-05, Reward: -20.5, Advantage: -7.088633235952102e-09, Max Prob: 0.2013542205095291, Max Log Prob: -1.6026896238327026
Episode: 24, Loss: 0.001092829741537571, Reward: -20.25, Advantage: 1.553669051190809e-07, Max Prob: 0.20423860847949982, Max Log Prob: -1.5884662866592407
Episode: 28, Loss: -0.0007991281454451382, Reward: -20.25, Advantage: 1.8378098332050286e-07, Max Prob: 0.20775263011455536, Max Log Prob: -1.5714071989059448
Episode: 32, Loss: 0.0008078773389570415, Reward: -20.75, Advantage: -2.382015082957878e-07, Max Prob: 0.20687517523765564, Max Log Prob: -1.5756397247314453
Episode: 36, Loss: -0.00022245111176744103, Reward: -20.5, Advantage: -1.2019280859476567e-07, Max Prob: 0.2082725614309311, Max Log Prob: -1.568907618522644
Episode: 40, Loss: -0.0023264579940587282, Reward: -21.0, Advantage: 9.462192451792362e-08, Max Prob: 0.20738719403743744, Max Log Prob: -1.5731678009033203
Episode: 44, Loss: 0.0022433092817664146, Reward: -20.75, Advantage: -1.4547573812251358e-07, Max Prob: 0.21092748641967773, Max Log Prob: -1.5562409162521362
Episode: 48, Loss: -0.00018735627236310393, Reward: -20.5, Advantage: 1.1526581289444948e-07, Max Prob: 0.2087724655866623, Max Log Prob: -1.5665103197097778
Episode: 52, Loss: 0.0011846963316202164, Reward: -21.0, Advantage: -3.348729933350114e-07, Max Prob: 0.2095087468624115, Max Log Prob: -1.5629898309707642
Episode: 56, Loss: 0.0016065416857600212, Reward: -20.25, Advantage: -6.749779402070999e-08, Max Prob: 0.21228250861167908, Max Log Prob: -1.549837350845337
Episode: 60, Loss: -0.0008455635397695005, Reward: -19.25, Advantage: 1.11246389877806e-08, Max Prob: 0.21407848596572876, Max Log Prob: -1.541412591934204
Episode: 64, Loss: -0.00013825194037053734, Reward: -20.0, Advantage: -6.600542690193834e-08, Max Prob: 0.21371807157993317, Max Log Prob: -1.5430974960327148
Episode: 68, Loss: 0.001088112243451178, Reward: -20.5, Advantage: -2.609743887660443e-07, Max Prob: 0.2123776525259018, Max Log Prob: -1.5493892431259155
Episode: 72, Loss: -0.00013690497144125402, Reward: -20.0, Advantage: -8.192906619797213e-08, Max Prob: 0.21425817906856537, Max Log Prob: -1.5405735969543457
Episode: 76, Loss: 0.000994613510556519, Reward: -20.25, Advantage: -1.0828279783936523e-07, Max Prob: 0.2177002727985382, Max Log Prob: -1.5246360301971436
Episode: 80, Loss: 0.0019005845533683896, Reward: -18.0, Advantage: -2.362211759532329e-08, Max Prob: 0.23126450181007385, Max Log Prob: -1.4641932249069214
Episode: 84, Loss: -0.0005912258639000356, Reward: -20.75, Advantage: 2.5907748835152233e-08, Max Prob: 0.22355709969997406, Max Log Prob: -1.4980883598327637
